,taxa 1,taxa 2,taxa 3,taxa 4,taxa 5,taxa 6,taxa 7,taxa 8,taxa 9,taxa 10,taxa 11,taxa 12,taxa 13,taxa 14,taxa 15,taxa 16,taxa 17,taxa 18,taxa 19,taxa 20,taxa 21,taxa 22,taxa 23,taxa 24,taxa 25,taxa 26,taxa 27,taxa 28,taxa 29,taxa 30,taxa 31,taxa 32,taxa 33,taxa 34,taxa 35,taxa 36,taxa 37,taxa 38,taxa 39,taxa 40,taxa 41,taxa 42,taxa 43,taxa 44,taxa 45,taxa 46,taxa 47,taxa 48,taxa 49,taxa 50,taxa 51,taxa 52,taxa 53,taxa 54,taxa 55,taxa 56,taxa 57,taxa 58,taxa 59,taxa 60,taxa 61,taxa 62,taxa 63,taxa 64,taxa 65,taxa 66,taxa 67,taxa 68,taxa 69,taxa 70,taxa 71,taxa 72,taxa 73,taxa 74,taxa 75,taxa 76,taxa 77,taxa 78,taxa 79,taxa 80,taxa 81,taxa 82,taxa 83,taxa 84,taxa 85,taxa 86,taxa 87,taxa 88,taxa 89,taxa 90,taxa 91,taxa 92
sample 1,3.0,950.0,319.0,4.0,0.0,335.0,0.0,599.0,3245.0,0.0,0.0,0.0,0.0,99.0,559.0,82.0,41.0,0.0,0.0,0.0,15.0,246.0,0.0,88.0,0.0,26.0,0.0,0.0,0.0,1385.0,0.0,0.0,43.0,128.0,0.0,0.0,0.0,109.0,0.0,28.0,13.0,51.0,128.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,44.0,16.0,0.0,0.0,61.0,0.0,6.0,0.0,97.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
sample 2,8.0,121.0,1011.0,0.0,2299.0,209.0,612.0,2442.0,4.0,231.0,101.0,806.0,18.0,112.0,0.0,14.0,62.0,0.0,10.0,0.0,0.0,0.0,0.0,188.0,0.0,44.0,0.0,0.0,50.0,9.0,100.0,83.0,41.0,3.0,26.0,8.0,0.0,43.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,11.0,0.0,15.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample 3,3.0,117.0,735.0,0.0,20.0,29.0,176.0,75.0,7.0,50.0,283.0,86.0,98.0,13.0,49.0,11.0,53.0,0.0,5.0,0.0,0.0,0.0,0.0,35.0,0.0,98.0,0.0,0.0,7.0,0.0,0.0,101.0,112.0,16.0,0.0,8.0,0.0,3.0,0.0,0.0,4.0,3.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample 4,9.0,83.0,1194.0,0.0,8.0,217.0,331.0,361.0,44.0,167.0,97.0,477.0,56.0,149.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,102.0,0.0,0.0,42.0,5.0,27.0,31.0,74.0,17.0,6.0,70.0,0.0,17.0,11.0,0.0,4.0,25.0,0.0,28.0,0.0,48.0,0.0,6.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample 5,4564.0,1734.0,223.0,0.0,536.0,0.0,65.0,60.0,0.0,53.0,79.0,27.0,0.0,0.0,0.0,16.0,16.0,0.0,180.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,22.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
sample 6,1743.0,1353.0,353.0,0.0,807.0,6.0,72.0,27.0,0.0,22.0,9.0,22.0,0.0,0.0,26.0,14.0,8.0,0.0,50.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample 7,1827.0,3209.0,806.0,0.0,878.0,31.0,195.0,31.0,3.0,19.0,16.0,31.0,0.0,9.0,0.0,52.0,16.0,0.0,184.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,77.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,10.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample 8,8.0,761.0,453.0,0.0,668.0,9.0,625.0,14.0,7.0,253.0,0.0,36.0,45.0,0.0,38.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,67.0,0.0,0.0,0.0,9.0,22.0,52.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,8.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample 9,32.0,1351.0,464.0,0.0,131.0,33.0,542.0,74.0,2.0,463.0,0.0,60.0,138.0,6.0,113.0,10.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,63.0,0.0,0.0,3.0,8.0,16.0,33.0,58.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,19.0,0.0,8.0,0.0,0.0,12.0,0.0,0.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample 10,7.0,1505.0,464.0,0.0,272.0,162.0,447.0,21.0,0.0,519.0,0.0,10.0,254.0,19.0,96.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,100.0,0.0,0.0,31.0,26.0,28.0,49.0,101.0,0.0,32.0,12.0,0.0,0.0,0.0,21.0,0.0,0.0,4.0,8.0,0.0,18.0,0.0,0.0,9.0,21.0,25.0,5.0,0.0,0.0,0.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample 11,9.0,1043.0,511.0,2.0,9.0,65.0,380.0,166.0,3.0,1519.0,0.0,76.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,39.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
