,taxa 1,taxa 2,taxa 3,taxa 4,taxa 5,taxa 6,taxa 7,taxa 8,taxa 9,taxa 10,taxa 11,taxa 12,taxa 13,taxa 14,taxa 15,taxa 16,taxa 17,taxa 18,taxa 19,taxa 20,taxa 21,taxa 22,taxa 23,taxa 24,taxa 25,taxa 26,taxa 27,taxa 28,taxa 29,taxa 30,taxa 31,taxa 32,taxa 33,taxa 34,taxa 35,taxa 36,taxa 37,taxa 38,taxa 39,taxa 40,taxa 41,taxa 42,taxa 43,taxa 44,taxa 45,taxa 46,taxa 47,taxa 48,taxa 49,taxa 50,taxa 51,taxa 52,taxa 53,taxa 54,taxa 55,taxa 56,taxa 57,taxa 58,taxa 59,taxa 60,taxa 61,taxa 62,taxa 63,taxa 64,taxa 65,taxa 66,taxa 67,taxa 68,taxa 69,taxa 70,taxa 71,taxa 72,taxa 73,taxa 74,taxa 75,taxa 76,taxa 77,taxa 78,taxa 79,taxa 80,taxa 81,taxa 82,taxa 83,taxa 84,taxa 85,taxa 86,taxa 87,taxa 88,taxa 89,taxa 90,taxa 91,taxa 92
sample 1,3,950,319,4,0,335,0,599,3245,0,0,0,0,99,559,82,41,0,0,0,15,246,0,88,0,26,0,0,0,1385,0,0,43,128,0,0,0,109,0,28,13,51,128,0,0,0,0,2,0,0,0,44,16,0,0,61,0,6,0,97,0,0,0,0,10,0,0,0,11,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,40,0,0,0,0,0,0
sample 2,8,121,1011,0,2299,209,612,2442,4,231,101,806,18,112,0,14,62,0,10,0,0,0,0,188,0,44,0,0,50,9,100,83,41,3,26,8,0,43,0,0,20,0,0,0,0,11,0,15,0,0,0,28,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,15,0,0,0,0,0,0,0,0
sample 3,3,117,735,0,20,29,176,75,7,50,283,86,98,13,49,11,53,0,5,0,0,0,0,35,0,98,0,0,7,0,0,101,112,16,0,8,0,3,0,0,4,3,0,3,0,8,0,0,0,0,0,14,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 4,9,83,1194,0,8,217,331,361,44,167,97,477,56,149,0,17,17,0,0,0,0,0,0,119,0,102,0,0,42,5,27,31,74,17,6,70,0,17,11,0,4,25,0,28,0,48,0,6,0,0,0,81,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,11,4,0,0,0,0,8,0,0,0,0,0,0,0,0
sample 5,4564,1734,223,0,536,0,65,60,0,53,79,27,0,0,0,16,16,0,180,0,0,0,0,21,0,0,0,0,15,0,0,22,7,0,0,0,0,0,0,0,0,10,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
sample 6,1743,1353,353,0,807,6,72,27,0,22,9,22,0,0,26,14,8,0,50,0,0,0,0,23,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 7,1827,3209,806,0,878,31,195,31,3,19,16,31,0,9,0,52,16,0,184,0,0,0,0,33,0,0,0,0,0,15,10,77,11,0,0,0,0,0,0,0,0,40,10,9,0,0,0,3,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 8,8,761,453,0,668,9,625,14,7,253,0,36,45,0,38,0,23,0,0,0,0,0,0,34,0,67,0,0,0,9,22,52,61,0,0,0,0,0,0,0,0,11,0,0,0,8,0,12,0,12,0,0,0,0,0,0,0,14,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 9,32,1351,464,0,131,33,542,74,2,463,0,60,138,6,113,10,73,0,0,0,0,0,0,32,0,63,0,0,3,8,16,33,58,0,23,0,0,0,0,0,0,16,19,0,8,0,0,12,0,0,11,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,4,0,3,0,0,0,0,0,0,0,0
sample 10,7,1505,464,0,272,162,447,21,0,519,0,10,254,19,96,0,42,0,0,0,0,0,0,81,0,100,0,0,31,26,28,49,101,0,32,12,0,0,0,21,0,0,4,8,0,18,0,0,9,21,25,5,0,0,0,9,0,6,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,3,6,9,8,0,0,0,0,0,0,0,0,0,0,0,0
